Target,Reporter Countries,Source,Partner Countries,Element,Item Code,Item,Unit,Value,Value_scaled,Link Color,Commodity,,,,,,
24,France,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,16456,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,13,Ghana,Import Quantity,665,"Cocoa, powder & cake",tonnes,22337,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,4,Côte d'Ivoire,Import Quantity,665,"Cocoa, powder & cake",tonnes,22953,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,0,Netherlands,Processed,F0665,"Cocoa, powder & cake",tonnes,32128,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,6,Poland,Processed,F0665,"Cocoa, powder & cake",tonnes,33919,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,10,Italy,Processed,F0665,"Cocoa, powder & cake",tonnes,40426,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,43509,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,4,Côte d'Ivoire,Import Quantity,665,"Cocoa, powder & cake",tonnes,45334,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,3,Belgium,Processed,F0665,"Cocoa, powder & cake",tonnes,82245,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,1,Germany,Processed,F0665,"Cocoa, powder & cake",tonnes,120862,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
